# depth_mm,edep_keV_per_event
0.0002,57.878854
0.0006,58.128417
0.001,58.68527
0.0014,59.085188
0.0018,59.483831
0.0022,59.960652
0.0026,60.453898
0.003,61.192291
0.0034,61.648071
0.0038,62.30232
0.0042,62.817299
0.0046,63.413397
0.005,64.027914
0.0054,64.740134
0.0058,65.443316
0.0062,65.953039
0.0066,66.680796
0.007,67.365548
0.0074,68.06758
0.0078,68.833255
0.0082,69.430555
0.0086,70.391672
0.009,71.141425
0.0094,72.166218
0.0098,72.931305
0.0102,73.924389
0.0106,74.975553
0.011,75.931615
0.0114,77.012634
0.0118,77.799553
0.0122,78.979152
0.0126,80.359641
0.013,81.3929
0.0134,82.738558
0.0138,83.866292
0.0142,85.295113
0.0146,86.540975
0.015,87.98425
0.0154,89.558678
0.0158,91.235431
0.0162,93.035867
0.0166,94.81013
0.017,96.864181
0.0174,98.908103
0.0178,101.3087
0.0182,103.66769
0.0186,106.30514
0.019,109.34419
0.0194,112.36373
0.0198,115.96577
0.0202,119.44846
0.0206,122.93756
0.021,126.65683
0.0214,129.74439
0.0218,132.14728
0.0222,131.93269
0.0226,125.5819
0.023,108.45722
0.0234,78.211088
0.0238,41.479632
0.0242,10.314568
0.0246,0.69759929
0.025,0.014610534
0.0254,0
0.0258,0
0.0262,0
0.0266,0
0.027,0
0.0274,0
0.0278,0
0.0282,0
0.0286,0
0.029,0
0.0294,0
0.0298,0
0.0302,0
0.0306,0
0.031,0
0.0314,0
0.0318,0
0.0322,0
0.0326,0
0.033,0
0.0334,0
0.0338,0
0.0342,0
0.0346,0
0.035,0
0.0354,0
0.0358,0
0.0362,0
0.0366,0
0.037,0
0.0374,0
0.0378,0
0.0382,0
0.0386,0
0.039,0
0.0394,0
0.0398,0
0.0402,0
0.0406,0
0.041,0
0.0414,0
0.0418,0
0.0422,0
0.0426,0
0.043,0
0.0434,0
0.0438,0
0.0442,0
0.0446,0
0.045,0
0.0454,0
0.0458,0
0.0462,0
0.0466,0
0.047,0
0.0474,0
0.0478,0
0.0482,0
0.0486,0
0.049,0
0.0494,0
0.0498,0
0.0502,0
0.0506,0
0.051,0
0.0514,0
0.0518,0
0.0522,0
0.0526,0
0.053,0
0.0534,0
0.0538,0
0.0542,0
0.0546,0
0.055,0
0.0554,0
0.0558,0
0.0562,0
0.0566,0
0.057,0
0.0574,0
0.0578,0
0.0582,0
0.0586,0
0.059,0
0.0594,0
0.0598,0
0.0602,0
0.0606,0
0.061,0
0.0614,0
0.0618,0
0.0622,0
0.0626,0
0.063,0
0.0634,0
0.0638,0
0.0642,0
0.0646,0
0.065,0
0.0654,0
0.0658,0
0.0662,0
0.0666,0
0.067,0
0.0674,0
0.0678,0
0.0682,0
0.0686,0
0.069,0
0.0694,0
0.0698,0
0.0702,0
0.0706,0
0.071,0
0.0714,0
0.0718,0
0.0722,0
0.0726,0
0.073,0
0.0734,0
0.0738,0
0.0742,0
0.0746,0
0.075,0
0.0754,0
0.0758,0
0.0762,0
0.0766,0
0.077,0
0.0774,0
0.0778,0
0.0782,0
0.0786,0
0.079,0
0.0794,0
0.0798,0
